"","geocode","reference_month","forecast_months_ahead","temp_med","umid_med","precip_tot"
"1",3550308,2010-01-01,1,23.7653139214928,82.769224089148,0.0001027
"2",3550308,2010-01-01,2,23.0878224828481,83.3414637700655,8.82e-05
"3",3550308,2010-01-01,3,22.1711956069836,83.5422779200137,6.58e-05
"4",3550308,2010-01-01,4,20.7439386283334,80.9864714922216,3.83e-05
"5",3550308,2010-01-01,5,19.5114194736454,79.2087145378702,2.91e-05
"6",3550308,2010-01-01,6,17.7610795192917,78.3529260159165,2.84e-05
"7",3550308,2010-02-01,1,24.7035102716199,81.1964951115366,7.27e-05
"8",3550308,2010-02-01,2,22.3640143833281,82.4639126628716,5.58e-05
"9",3550308,2010-02-01,3,21.1955400858362,81.1025552682923,3.69e-05
"10",3550308,2010-02-01,4,19.5108490129746,79.4426684415311,3.44e-05
"11",3550308,2010-02-01,5,17.2895023306549,78.5404469235215,2.99e-05
"12",3550308,2010-02-01,6,16.9746495331445,77.2683913252006,2.32e-05
"13",3550308,2010-03-01,1,21.6842980922238,82.6642765682217,5.39e-05
"14",3550308,2010-03-01,2,20.9816634181665,81.4401996736744,3.73e-05
"15",3550308,2010-03-01,3,18.9566482826378,80.3573270619466,3.7e-05
"16",3550308,2010-03-01,4,17.3594715961372,79.1620500172026,2.77e-05
"17",3550308,2010-03-01,5,17.0033027139418,78.9177278293287,2.77e-05
"18",3550308,2010-03-01,6,18.093575150667,75.2690591158177,2.33e-05
"19",3550308,2010-04-01,1,20.6821280269374,82.2026489912634,5.35e-05
"20",3550308,2010-04-01,2,19.3659479177535,80.6889063729524,3.33e-05
"21",3550308,2010-04-01,3,17.3474155787878,80.2827340535878,3.62e-05
"22",3550308,2010-04-01,4,16.801543234486,79.1676237288889,2.53e-05
"23",3550308,2010-04-01,5,18.0047649377899,75.8410464877488,2.2e-05
"24",3550308,2010-04-01,6,19.3193999663386,75.6607678641182,3.92e-05
"25",3550308,2010-05-01,1,18.7553411904957,79.1415052870693,3.05e-05
"26",3550308,2010-05-01,2,17.3442419967515,78.6906559579694,2.2e-05
