"","date","epiweek","geocode","temp_min","temp_med","temp_max","precip_min","precip_med","precip_max","pressure_min","pressure_med","pressure_max","rel_humid_min","rel_humid_med","rel_humid_max","thermal_range","rainy_days"
"1",2009-12-27,200952,3550308,19.42545,21.392,24.25665,1.4661,13.3703,34.1412,0.91575,0.9167,0.91785,76.31595,90.56115,97.3618,4.8312,2
"2",2010-01-03,201001,3550308,20.7457571428571,23.4707428571429,27.8481285714286,4.3834,35.999,129.2626,0.915585714285714,0.916928571428571,0.9182,66.0886857142857,85.5100285714286,96.3872142857143,7.10237142857143,7
"3",2010-01-10,201002,3550308,20.4944714285714,23.3422285714286,26.8283571428571,2.6356,18.9586,49.777,0.916428571428572,0.917842857142857,0.919142857142857,65.9383,82.2338714285714,94.0290714285714,6.33388571428572,7
"4",2010-01-17,201003,3550308,20.0659571428571,22.7941571428571,25.8767571428571,8.4716,39.1185,101.2106,0.9163,0.917942857142857,0.919314285714286,71.1235142857143,85.1851857142857,95.3258285714286,5.8108,7
"5",2010-01-24,201004,3550308,19.0266857142857,21.9179571428571,25.5958857142857,1.1999,42.9796,135.6659,0.915814285714286,0.917028571428571,0.918142857142857,71.3301285714286,86.5390571428571,96.6756,6.5692,7
"6",2010-01-31,201005,3550308,20.1622714285714,24.6565285714286,29.5587142857143,0.4774,7.7515,32.2759,0.916971428571428,0.918528571428572,0.919714285714286,55.2278571428571,78.3292142857143,94.8181142857143,9.39644285714286,7
"7",2010-02-07,201006,3550308,20.5288142857143,24.0223,28.4295571428571,0.4999,11.8032,49.7291,0.915214285714286,0.916771428571429,0.917971428571428,58.2619857142857,79.1559571428571,93.1823571428572,7.90074285714286,7
"8",2010-02-14,201007,3550308,20.4432571428571,23.8271571428571,27.7063,1.1629,21.7031,68.7168,0.917385714285714,0.9189,0.92,61.4313571428571,81.2428285714286,95.4517857142857,7.26304285714286,7
"9",2010-02-21,201008,3550308,19.4357571428571,22.6628142857143,26.2350571428571,2.4896,81.0532,275.6958,0.916114285714286,0.917814285714286,0.919171428571428,65.3012428571429,81.5407,94.1774142857143,6.7993,7
"10",2010-02-28,201009,3550308,17.8758571428571,19.7799,22.5495428571429,3.4449,19.7373,59.1803,0.916742857142857,0.918285714285714,0.9195,76.8434,88.7994142857143,96.5516285714286,4.67368571428571,7
"11",2010-03-07,201010,3550308,18.2768,22.6308,27.2343285714286,0.0862,3.673,18.9322,0.9129,0.914257142857143,0.9155,54.3209857142857,74.8772,91.5139714285714,8.95752857142857,7
"12",2010-03-14,201011,3550308,19.2765285714286,21.9352857142857,25.4708571428571,2.5122,14.3337,38.8407,0.918171428571428,0.919985714285714,0.9213,67.6089857142857,84.3692857142857,95.0747428571428,6.19432857142857,7
"13",2010-03-21,201012,3550308,19.4896285714286,22.7655571428571,27.3198142857143,0.2657,14.6513,64.3026,0.915985714285714,0.917314285714286,0.918557142857143,65.7490142857143,85.5723,96.8681,7.83018571428571,7
"14",2010-03-28,201013,3550308,18.9897857142857,21.3358285714286,24.8375714285714,1.0942,17.6212,65.3142,0.916771428571429,0.9183,0.919728571428572,70.8206714285714,88.1573142857143,98.0039428571429,5.84778571428571,7
